Five-Year Ofsted Inspection Data: Non-association independent schools,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Each row in the table shows information about an independent school at a given time. Blank cells indicate that the provider had not been inspected at the time of reporting.,,,,,,,,,,,,,,,,,,,,
URN,Name,Five-Year Ofsted Inspection Data publish date,Publication type,Remit,As at date,Published date,Government office region,Local authority area,Constituency,Postcode,Provider type,Overall effectiveness,Effectiveness of leadership and management,Quality of education,Personal development,Behaviour and attitudes,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Independent school standards met
143839,Aurora Hanley School,03/12/2024,OS,Non-association independent schools,31/08/2020,05/09/2018,West Midlands,Staffordshire,Staffordshire Moorlands,ST2 8LY,Other Independent Special School,1,1,9,9,9,Yes,9,9,All standards Met
143841,Nightingale House School,03/12/2024,OS,Non-association independent schools,31/08/2020,19/05/2020,Yorkshire and The Humber,Calderdale,Hazel Grove,SK6 2SR,Other Independent School,2,2,2,2,2,Yes,9,9,All standards Met
143858,Lincoln House School,03/12/2024,OS,Non-association independent schools,31/08/2020,22/05/2018,North West,Lancashire,Hazel Grove,SK6 2SR,Other Independent School,2,2,9,9,9,Yes,9,2,All standards Met
143911,The Ryes College and Community,03/12/2024,OS,Non-association independent schools,31/08/2020,16/01/2018,East of England,Suffolk,South Suffolk,CO10 5NA,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
143912,Progress Schools - Toxteth,03/12/2024,OS,Non-association independent schools,31/08/2020,29/06/2018,North West,Liverpool,"Liverpool, Riverside",L8 8HD,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
143930,Cheshire Alternative Provision School,03/12/2024,OS,Non-association independent schools,31/08/2020,20/07/2018,North West,Cheshire East,Congleton,CW12 1EH,Other Independent School,3,3,9,9,9,Yes,9,9,All standards Met
143932,Bluebell School,03/12/2024,OS,Non-association independent schools,31/08/2020,18/09/2018,West Midlands,Staffordshire,Stoke-on-Trent North,ST7 1EH,Other Independent Special School,1,1,9,9,9,Yes,9,9,All standards Met
143933,Education My Life Matters,03/12/2024,OS,Non-association independent schools,31/08/2020,18/03/2020,London,Lewisham,Lewisham East,SE6 2BX,Other Independent School,3,3,3,3,3,Yes,9,9,Did not meet all standards
143935,Reflections Small School,03/12/2024,OS,Non-association independent schools,31/08/2020,26/06/2018,South East,West Sussex,Worthing West,BN11 1PS,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
143936,Wood Edge Independent School,03/12/2024,OS,Non-association independent schools,31/08/2020,07/06/2020,North West,Lancashire,West Lancashire,L39 4UL,Other Independent Special School,3,3,3,2,2,Yes,9,9,All standards Met
144033,Hillcrest New Barn School,03/12/2024,OS,Non-association independent schools,31/08/2020,16/01/2018,South East,West Berkshire,Newbury,RG20 8HZ,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
144363,Lubavitch Senior Boys' School,03/12/2024,OS,Non-association independent schools,31/08/2020,11/10/2018,London,Barnet,Finchley and Golders Green,NW11 0QB,Other Independent School,4,4,9,9,9,No,9,9,Did not meet all standards
144366,The Orchard,03/12/2024,OS,Non-association independent schools,31/08/2020,01/05/2018,Yorkshire and The Humber,North East Lincolnshire,Great Grimsby,DN37 9PH,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
144370,Rotunda Independent School for Excellence,03/12/2024,OS,Non-association independent schools,31/08/2020,18/09/2018,North West,Liverpool,"Liverpool, Riverside",L5 2PL,Other Independent School,3,3,9,9,9,Yes,9,9,All standards Met
144374,The Rowan School,03/12/2024,OS,Non-association independent schools,31/08/2020,16/01/2020,West Midlands,Dudley,Wolverhampton South East,WV14 9JW,Other Independent Special School,2,2,2,2,2,Yes,9,9,All standards Met
144375,Maple House,03/12/2024,OS,Non-association independent schools,31/08/2020,17/07/2018,North West,Lancashire,Hyndburn,BB4 6LN,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
144377,Youth Works Community College,03/12/2024,OS,Non-association independent schools,31/08/2020,08/05/2019,East Midlands,Northamptonshire,Kettering,NN16 9HX,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
144378,The Belsteads School,03/12/2024,OS,Non-association independent schools,31/08/2020,01/03/2020,East of England,Essex,Saffron Walden,CM3 3PP,Other Independent Special School,3,3,3,3,3,Yes,9,9,Did not meet all standards
144404,The Retreat,03/12/2024,OS,Non-association independent schools,31/08/2020,13/09/2018,West Midlands,Telford and Wrekin,Hazel Grove,SK6 2SR,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
144475,Parkview Academy,03/12/2024,OS,Non-association independent schools,31/08/2020,02/12/2019,South East,Kent,South Thanet,CT9 2AN,Other Independent Special School,2,2,2,2,2,Yes,9,9,All standards Met
144514,The Wasp Centre,03/12/2024,OS,Non-association independent schools,31/08/2020,18/06/2018,South West,Wiltshire,Salisbury,SP2 7PY,Other Independent School,3,3,9,9,9,Yes,9,9,Did not meet all standards
144516,Wetherby Kensington,03/12/2024,OS,Non-association independent schools,31/08/2020,06/07/2018,London,Kensington and Chelsea,Kensington,SW5 0JN,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
144619,Clovelly House School,03/12/2024,OS,Non-association independent schools,31/08/2020,18/05/2018,East Midlands,Leicestershire,Bosworth,LE67 1AP,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
144620,Beechtree Steiner Initiative,03/12/2024,OS,Non-association independent schools,31/08/2020,16/12/2019,Yorkshire and The Humber,Leeds,Leeds North East,LS7 4HZ,Other Independent School,2,2,2,2,2,Yes,9,9,All standards Met
144717,Hidelow Grange School,03/12/2024,OS,Non-association independent schools,31/08/2020,18/06/2018,West Midlands,Herefordshire,North Herefordshire,WR6 5AH,Other Independent School,3,3,9,9,9,Yes,9,9,Did not meet all standards
144726,Rhodes Wood Hospital School,03/12/2024,OS,Non-association independent schools,31/08/2020,11/06/2018,East of England,Hertfordshire,Welwyn Hatfield,AL9 6NN,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
144727,Lubavitch Yeshiva Ketanah of London,03/12/2024,OS,Non-association independent schools,31/08/2020,20/09/2018,London,Barnet,Finchley and Golders Green,NW11 0QB,Other Independent School,4,4,9,9,9,No,9,9,Did not meet all standards
144730,Aurora Redehall School,03/12/2024,OS,Non-association independent schools,31/08/2020,22/05/2018,South East,Surrey,East Surrey,RH6 9QA,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
144738,Gesher Primary Special School,03/12/2024,OS,Non-association independent schools,31/08/2020,27/06/2018,London,Brent,Brent Central,NW2 3BS,Other Independent School,1,1,9,9,9,Yes,1,9,All standards Met
144774,Brookways School,03/12/2024,OS,Non-association independent schools,31/08/2020,07/11/2018,London,Sutton,Sutton and Cheam,SM3 9BZ,Other Independent Special School,2,1,9,9,9,Yes,9,9,All standards Met
144775,The Anderson School,03/12/2024,OS,Non-association independent schools,31/08/2020,23/06/2020,East of England,Essex,Epping Forest,IG7 5AB,Other Independent Special School,4,4,4,4,4,No,9,9,Did not meet all standards
144796,Edith Kay Independent School,03/12/2024,OS,Non-association independent schools,31/08/2020,12/03/2020,London,Brent,Brent Central,NW10 8HR,Other Independent Special School,2,2,2,2,2,Yes,9,2,All standards Met
144804,"The Independent Grammar School, Durham",03/12/2024,OS,Non-association independent schools,31/08/2020,06/05/2019,North East,Durham,City of Durham,DH1 1RH,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
144806,Watchorn Christian School,03/12/2024,OS,Non-association independent schools,31/08/2020,13/09/2018,East Midlands,Derbyshire,Amber Valley,DE55 7AQ,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
144807,E-Spired,03/12/2024,OS,Non-association independent schools,31/08/2020,11/06/2018,East of England,Bedford,Bedford,MK42 9HE,Other Independent School,2,2,9,9,9,Yes,9,0,All standards Met
144808,Releasing Potential,03/12/2024,OS,Non-association independent schools,31/08/2020,18/06/2018,South East,Hampshire,Havant,PO9 1LS,Other Independent School,2,2,9,9,9,Yes,9,2,All standards Met
144811,Rida Girls' High School,03/12/2024,OS,Non-association independent schools,31/08/2020,06/04/2018,Yorkshire and The Humber,Kirklees,Dewsbury,WF12 9LX,Other Independent School,2,1,9,9,9,Yes,9,9,All standards Met
144816,Olive High Ltd,03/12/2024,OS,Non-association independent schools,31/08/2020,13/06/2018,North West,Lancashire,Burnley,BB10 1LJ,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
144818,Open Box Education Centre,03/12/2024,OS,Non-association independent schools,31/08/2020,19/06/2018,East of England,Essex,Epping Forest,CM16 5DN,Other Independent School,3,3,9,9,9,Yes,9,9,Did not meet all standards
144855,Assure Community College,03/12/2024,OS,Non-association independent schools,31/08/2020,06/07/2020,South East,Southampton,Romsey and Southampton North,SO16 6RB,Other Independent School,0,4,0,0,0,No,0,0,Did not meet all standards
144856,Progress Schools - Wirral,03/12/2024,OS,Non-association independent schools,31/08/2020,10/08/2018,North West,Wirral,Birkenhead,CH41 4EA,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
144857,Pivot Academy,03/12/2024,OS,Non-association independent schools,31/08/2020,02/03/2018,Yorkshire and The Humber,Kirklees,Batley and Spen,BD19 5LH,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
144965,Kensington Wade,03/12/2024,OS,Non-association independent schools,31/08/2020,13/06/2018,London,Kensington and Chelsea,Kensington,W14 8PU,Other Independent School,1,1,9,9,9,Yes,9,9,All standards Met
144966,Independent Educational Services Long Street,03/12/2024,OS,Non-association independent schools,31/08/2020,03/10/2018,West Midlands,Warwickshire,North Warwickshire,CV9 1AY,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145023,Good Apple Independent School,03/12/2024,OS,Non-association independent schools,31/08/2020,06/05/2019,East Midlands,Lincolnshire,Gainsborough,DN21 2NS,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145059,Woodbury School,03/12/2024,OS,Non-association independent schools,31/08/2020,24/10/2018,West Midlands,Wolverhampton,Wolverhampton North East,WV10 8ED,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145064,Cherry Tree School,03/12/2024,OS,Non-association independent schools,31/08/2020,17/07/2018,South East,Kent,North Thanet,CT9 5QN,Other Independent Special School,2,1,9,9,9,Yes,9,9,All standards Met
145116,Compass Community School South,03/12/2024,OS,Non-association independent schools,31/08/2020,12/12/2018,South East,East Sussex,Lewes,BN9 0NS,Other Independent Special School,1,1,9,9,9,Yes,9,9,All standards Met
145127,Embleton View,03/12/2024,OS,Non-association independent schools,31/08/2020,11/11/2018,North East,Darlington,Darlington,DL3 8TF,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145128,Dovecote School,03/12/2024,OS,Non-association independent schools,31/08/2020,02/07/2018,West Midlands,Herefordshire,Hereford and South Herefordshire,HR9 6PB,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145129,Take 1 Learning Centre,03/12/2024,OS,Non-association independent schools,31/08/2020,16/12/2018,East Midlands,Nottingham,Nottingham East,NG7 6BE,Other Independent School,3,3,9,9,9,Yes,9,9,Did not meet all standards
145159,Kingsbrook School,03/12/2024,OS,Non-association independent schools,31/08/2020,05/03/2019,East of England,Norfolk,Mid Norfolk,IP25 7TJ,Other Independent Special School,3,3,9,9,9,Yes,9,9,Did not meet all standards
145160,Peregrinate Ltd,03/12/2024,OS,Non-association independent schools,31/08/2020,17/07/2018,North West,Knowsley,"Liverpool, Walton",L9 7BN,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
145162,TLG Tendring,03/12/2024,OS,Non-association independent schools,31/08/2020,13/12/2018,East of England,Essex,Clacton,CO13 9PW,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
145164,Tram House School,03/12/2024,OS,Non-association independent schools,31/08/2020,31/07/2018,London,Wandsworth,Tooting,SW17 0NY,Other Independent Special School,1,1,9,9,9,Yes,9,9,All standards Met
145168,Olive Secondary Girls,03/12/2024,OS,Non-association independent schools,31/08/2020,11/12/2018,Yorkshire and The Humber,Bradford,Bradford East,BD3 0AD,Other Independent School,3,3,9,9,9,Yes,9,9,Did not meet all standards
145169,The Beech House School,03/12/2024,OS,Non-association independent schools,31/08/2020,25/07/2019,South East,Surrey,Esher and Walton,KT8 2EJ,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
145170,Elizabeth House School,03/12/2024,OS,Non-association independent schools,31/08/2020,06/11/2018,North West,Rochdale,Heywood and Middleton,M24 4BD,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
145181,On Track Education Barnstaple,03/12/2024,OS,Non-association independent schools,31/08/2020,05/09/2018,South West,Devon,North Devon,EX32 8PA,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
145182,"Birtenshaw School, Merseyside",03/12/2024,OS,Non-association independent schools,31/08/2020,18/12/2018,North West,Liverpool,"Liverpool, Walton",L9 7AB,Other Independent Special School,2,2,9,9,9,Yes,2,2,All standards Met
145184,Buzz Learning School,03/12/2024,OS,Non-association independent schools,31/08/2020,15/03/2020,North East,Northumberland,Wansbeck,NE63 8AP,Other Independent Special School,2,2,2,2,2,Yes,9,9,All standards Met
145186,Cannon Hill Girls School,03/12/2024,OS,Non-association independent schools,31/08/2020,30/01/2020,West Midlands,Birmingham,"Birmingham, Hall Green",B12 9LB,Other Independent School,4,4,3,3,2,Yes,9,9,Did not meet all standards
145187,Progress Schools - Wigan,03/12/2024,OS,Non-association independent schools,31/08/2020,05/10/2018,North West,Wigan,Wigan,WN1 1RU,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
145192,Bep Academy,03/12/2024,OS,Non-association independent schools,31/08/2020,11/12/2018,London,Havering,Romford,RM1 3LP,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
145194,"The Aspire Hub, Burnley",03/12/2024,OS,Non-association independent schools,31/08/2020,16/12/2018,North West,Lancashire,Burnley,BB11 1LE,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145231,City of Rochester School,03/12/2024,OS,Non-association independent schools,31/08/2020,23/01/2019,South East,Medway,Rochester and Strood,ME3 8UJ,Other Independent Special School,4,4,9,9,9,No,9,9,Did not meet all standards
145239,ID Academy,03/12/2024,OS,Non-association independent schools,31/08/2020,04/12/2018,North East,North Tyneside,North Tyneside,NE13 6DS,Other Independent Special School,3,3,9,9,9,Yes,9,9,Did not meet all standards
145241,Fenton Grange School,03/12/2024,OS,Non-association independent schools,31/08/2020,06/01/2020,Yorkshire and The Humber,North Yorkshire,Hammersmith,W6 9RU,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145242,Linton School,03/12/2024,OS,Non-association independent schools,31/08/2020,13/12/2018,North West,Lancashire,Fylde,PR4 1HX,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145289,Expanse Learning Wigan School,03/12/2024,OS,Non-association independent schools,31/08/2020,17/02/2019,North West,Wigan,Makerfield,WN3 5XF,Other Independent Special School,3,3,9,9,9,Yes,9,9,All standards Met
145290,Greater Manchester Alternative Provision,03/12/2024,OS,Non-association independent schools,31/08/2020,23/01/2019,North West,Tameside,Ashton-under-Lyne,OL6 7HG,Other Independent Special School,3,3,9,9,9,Yes,9,9,All standards Met
145293,The Orchard School,03/12/2024,OS,Non-association independent schools,31/08/2020,07/11/2018,South West,Somerset,Hertsmere,W6 9RU,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145295,Unique Children's School,03/12/2024,OS,Non-association independent schools,31/08/2020,15/09/2019,London,Haringey,Hornsey and Wood Green,N10 2PS,Other Independent School,3,3,9,9,9,Yes,9,9,Did not meet all standards
145296,Rosa House School,03/12/2024,OS,Non-association independent schools,31/08/2020,12/11/2018,North West,Lancashire,Hazel Grove,SK6 2SR,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
145298,Eton Dorney Independent Therapeutic School,03/12/2024,OS,Non-association independent schools,31/08/2020,02/12/2018,South East,Buckinghamshire,Beaconsfield,SL4 6QS,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145308,"Park House, Taunton",03/12/2024,OS,Non-association independent schools,31/08/2020,15/10/2018,South West,Somerset,Taunton Deane,TA2 7AX,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145416,Al-Madani Independent Grammar School,03/12/2024,OS,Non-association independent schools,31/08/2020,04/12/2018,South East,Slough,Slough,SL1 6DQ,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
145417,New Ways School,03/12/2024,OS,Non-association independent schools,31/08/2020,11/03/2019,West Midlands,Birmingham,"Birmingham, Northfield",B38 9EL,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
145462,Act Fast,03/12/2024,OS,Non-association independent schools,31/08/2020,15/09/2019,Yorkshire and The Humber,North Lincolnshire,Scunthorpe,DN17 3PS,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145463,Employability Solutions Independent School ,03/12/2024,OS,Non-association independent schools,31/08/2020,15/01/2019,North West,Liverpool,Garston and Halewood,L19 2LX,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
145465,Moorfield Learning Centre,03/12/2024,OS,Non-association independent schools,31/08/2020,16/01/2019,North West,Cumbria,Barrow and Furness,LA13 9RS,Other Independent School,3,3,9,9,9,Yes,9,9,All standards Met
145468,The Mews School,03/12/2024,OS,Non-association independent schools,31/08/2020,03/12/2018,West Midlands,Shropshire,Hammersmith,W6 9RU,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145470,Brickyard Barn Outdoor Learning Centre,03/12/2024,OS,Non-association independent schools,31/08/2020,18/11/2018,West Midlands,Warwickshire,Warwick and Leamington,CV33 9QD,Other Independent Special School,1,1,9,9,9,Yes,9,9,All standards Met
145472,First Rung Independent School,03/12/2024,OS,Non-association independent schools,31/08/2020,26/11/2018,London,Enfield,Brent North,NW9 6TH,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
145478,The Prepatoria School,03/12/2024,OS,Non-association independent schools,31/08/2020,19/11/2018,West Midlands,Shropshire,Shrewsbury and Atcham,SY1 3AF,Other Independent School,1,1,9,9,9,Yes,9,9,All standards Met
145479,The Green Room School Kingsley,03/12/2024,OS,Non-association independent schools,31/08/2020,11/11/2018,South East,Hampshire,East Hampshire,GU35 9LU,Other Independent Special School,1,1,9,9,9,Yes,9,9,All standards Met
145493,Wribbenhall School,03/12/2024,OS,Non-association independent schools,31/08/2020,,West Midlands,Worcestershire,Wyre Forest,DY12 1JL,Other Independent School,,,,,,,,,
145499,Eden Springs,03/12/2024,OS,Non-association independent schools,31/08/2020,18/12/2019,Yorkshire and The Humber,Bradford,Bradford East,BD5 7PE,Other Independent School,2,2,2,1,1,Yes,9,9,All standards Met
145510,The Bridge,03/12/2024,OS,Non-association independent schools,31/08/2020,18/06/2019,London,Havering,Romford,RM1 2PS,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145546,Pollyteach Limited,03/12/2024,OS,Non-association independent schools,31/08/2020,20/01/2019,East Midlands,Nottinghamshire,Ashfield,NG17 9FW,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145549,Tor View School,03/12/2024,OS,Non-association independent schools,31/08/2020,16/06/2019,South West,Devon,Torridge and West Devon,PL19 0JN,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145552,Jasper City School,03/12/2024,OS,Non-association independent schools,31/08/2020,18/12/2018,London,Newham,East Ham,E7 8QT,Other Independent School,3,3,9,9,9,Yes,9,9,All standards Met
145563,Wenlock School,03/12/2024,OS,Non-association independent schools,31/08/2020,11/12/2018,West Midlands,Dudley,Dudley North,DY1 3SB,Other Independent Special School,2,2,9,9,9,Yes,9,0,All standards Met
145568,Harrow Independent College,03/12/2024,OS,Non-association independent schools,31/08/2020,15/10/2018,London,Harrow,Harrow West,HA2 9AH,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
145572,Jasmine House School,03/12/2024,OS,Non-association independent schools,31/08/2020,10/03/2019,East Midlands,Derbyshire,Amber Valley,DE75 7DT,Other Independent Special School,1,1,9,9,9,Yes,9,9,All standards Met
145574,Cross Keys Learning,03/12/2024,OS,Non-association independent schools,31/08/2020,26/03/2019,South East,Kent,South Thanet,CT10 3JJ,Other Independent Special School,3,3,9,9,9,Yes,9,9,All standards Met
145849,The Corner School,03/12/2024,OS,Non-association independent schools,31/08/2020,14/03/2019,London,Brent,Brent North,HA0 4DT,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145859,Arc Oakbridge School,03/12/2024,OS,Non-association independent schools,31/08/2020,14/03/2019,West Midlands,Birmingham,"Birmingham, Ladywood",B19 3HU,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145932,Build-a-Future Independent School,03/12/2024,OS,Non-association independent schools,31/08/2020,02/05/2019,East Midlands,Lincolnshire,Louth and Horncastle,LN9 5PT,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
145946,Shiras Devorah,03/12/2024,OS,Non-association independent schools,31/08/2020,06/05/2019,London,Barnet,Chipping Barnet,N12 8RZ,Other Independent School,4,4,9,9,9,Yes,9,9,Did not meet all standards
145949,APTCOO - A Place to Call Our Own,03/12/2024,OS,Non-association independent schools,31/08/2020,11/03/2019,East Midlands,Nottinghamshire,Mansfield,NG18 5NF,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
145950,In-tuition Holistic Education,03/12/2024,OS,Non-association independent schools,31/08/2020,15/01/2020,West Midlands,Stoke-on-Trent,Stoke-on-Trent South,ST3 4JD,Other Independent Special School,4,4,4,2,4,Yes,9,9,Did not meet all standards
145960,The Stables,03/12/2024,OS,Non-association independent schools,31/08/2020,02/05/2019,East of England,Norfolk,North Norfolk,NR12 9EU,Other Independent Special School,3,3,9,9,9,Yes,9,9,Did not meet all standards
145962,Potters Bar Clinic School,03/12/2024,OS,Non-association independent schools,31/08/2020,14/05/2019,East of England,Hertfordshire,Hertsmere,EN6 2SE,Other Independent Special School,4,4,9,9,9,No,9,3,Did not meet all standards
145980,Mountfield Heath School,03/12/2024,OS,Non-association independent schools,31/08/2020,11/02/2020,South East,East Sussex,Bexhill and Battle,TN32 5JN,Other Independent Special School,2,2,2,2,2,Yes,9,9,All standards Met
146030,The Nook,03/12/2024,OS,Non-association independent schools,31/08/2020,20/06/2019,North West,Lancashire,Pendle,BB8 8HH,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
146036,Brighton & Hove Clinic School,03/12/2024,OS,Non-association independent schools,31/08/2020,06/02/2019,South East,Brighton and Hove,Hove,BN3 4FH,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
146078,Peak Education - Primary,03/12/2024,OS,Non-association independent schools,31/08/2020,,West Midlands,Staffordshire,Newcastle-under-Lyme,ST7 8DH,Other Independent School,,,,,,,,,
146164,The Seeds School,03/12/2024,OS,Non-association independent schools,31/08/2020,10/09/2019,West Midlands,Telford and Wrekin,Telford,TF4 3EE,Other Independent School,3,3,9,9,9,Yes,9,9,All standards Met
146166,The Spires,03/12/2024,OS,Non-association independent schools,31/08/2020,08/07/2019,South West,Wiltshire,Salisbury,SP1 3YA,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
146167,The Greater Horseshoe School,03/12/2024,OS,Non-association independent schools,31/08/2020,21/07/2019,South West,Devon,Central Devon,TQ12 6RH,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
146182,Lawrence House School,03/12/2024,OS,Non-association independent schools,31/08/2020,20/01/2020,North West,Tameside,Ashton-under-Lyne,OL6 8AJ,Other Independent School,2,2,2,2,2,Yes,9,9,All standards Met
146200,The Outdoors School,03/12/2024,OS,Non-association independent schools,31/08/2020,23/06/2020,South West,Devon,Central Devon,EX2 9TG,Other Independent Special School,3,3,3,3,3,Yes,9,9,All standards Met
146277,Young Women's Hub,03/12/2024,OS,Non-association independent schools,31/08/2020,17/07/2019,London,Lewisham,Lewisham East,SE6 1AU,Other Independent Special School,3,3,9,9,9,Yes,9,9,Did not meet all standards
146287,K-HQ,03/12/2024,OS,Non-association independent schools,31/08/2020,20/06/2019,South West,Devon,Tiverton and Honiton,EX15 2BY,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
146288,Westbourne School,03/12/2024,OS,Non-association independent schools,31/08/2020,,East Midlands,Nottinghamshire,Ashfield,NG17 2EL,Other Independent Special School,,,,,,,,,
146292,Ameina Community Education,03/12/2024,OS,Non-association independent schools,31/08/2020,10/07/2019,East of England,Luton,Luton North,LU3 2SF,Other Independent School,4,4,9,9,9,No,9,9,Did not meet all standards
146301,Oaks International School,03/12/2024,OS,Non-association independent schools,31/08/2020,12/09/2019,East of England,Cambridgeshire,Cambridge,CB1 8DW,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
146332,New Skill Centre,03/12/2024,OS,Non-association independent schools,31/08/2020,10/12/2019,East of England,Suffolk,Ipswich,IP3 9QR,Other Independent Special School,3,3,3,2,2,Yes,9,9,Did not meet all standards
146333,Sycamore House School,03/12/2024,OS,Non-association independent schools,31/08/2020,05/08/2019,Yorkshire and The Humber,East Riding of Yorkshire,Beverley and Holderness,HU19 2NT,Other Independent Special School,2,1,9,9,9,Yes,9,9,All standards Met
146335,Compton Dundon School,03/12/2024,OS,Non-association independent schools,31/08/2020,07/01/2020,South West,Somerset,Somerton and Frome,TA11 6TE,Other Independent Special School,2,2,2,2,2,Yes,9,9,All standards Met
146337,Alex Park Democratic School,03/12/2024,OS,Non-association independent schools,31/08/2020,15/07/2019,North West,Manchester,"Manchester, Gorton",M16 8PH,Other Independent School,3,3,9,9,9,Yes,9,9,Did not meet all standards
146338,Arun Court School,03/12/2024,OS,Non-association independent schools,31/08/2020,05/12/2019,South East,Surrey,South West Surrey,GU5 0HF,Other Independent Special School,2,2,2,1,2,Yes,9,9,All standards Met
146339,The Pivot Academy LS East,03/12/2024,OS,Non-association independent schools,31/08/2020,21/07/2019,Yorkshire and The Humber,Leeds,Leeds East,LS14 6UF,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
146340,Overton School,03/12/2024,OS,Non-association independent schools,31/08/2020,21/11/2019,West Midlands,Shropshire,Ludlow,SY8 4AD,Other Independent Special School,2,2,2,2,2,Yes,9,9,All standards Met
146350,Priory Telford,03/12/2024,OS,Non-association independent schools,31/08/2020,04/12/2019,West Midlands,Telford and Wrekin,Telford,TF8 7DT,Other Independent Special School,2,2,2,2,2,Yes,9,9,All standards Met
146353,Progress Schools - Chorley,03/12/2024,OS,Non-association independent schools,31/08/2020,11/07/2019,North West,Lancashire,Chorley,PR7 1BS,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
146360,Dovetree School,03/12/2024,OS,Non-association independent schools,31/08/2020,29/07/2019,East Midlands,Leicestershire,Bosworth,LE10 0TB,Other Independent Special School,2,1,9,9,9,Yes,9,9,All standards Met
146516,Oxford International College,03/12/2024,OS,Non-association independent schools,31/08/2020,06/01/2020,South East,Oxfordshire,Oxford East,OX4 1BD,Other Independent School,2,2,2,2,2,Yes,9,9,All standards Met
146519,Norton College Tewkesbury,03/12/2024,OS,Non-association independent schools,31/08/2020,07/01/2020,South West,Gloucestershire,Tewkesbury,GL20 8UQ,Other Independent Special School,3,3,3,2,2,Yes,9,9,All standards Met
146521,Cornfields,03/12/2024,OS,Non-association independent schools,31/08/2020,12/01/2020,South East,Kent,Ashford,TN24 8PL,Other Independent Special School,2,2,2,1,1,Yes,9,9,All standards Met
146522,The Derwen School,03/12/2024,OS,Non-association independent schools,31/08/2020,18/09/2019,West Midlands,Shropshire,North Shropshire,SY11 3NA,Other Independent Special School,2,2,9,9,9,Yes,9,0,All standards Met
